name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
Разработчик Android/android developer/Java программист,,,,,Москва,2018-06-26T15:26:53+0300
Junior android developer,,200.0,600.0,BYR,Гомель,2018-08-21T10:40:44+0300
"Тестировщик андроид-приложений, веб-приложений (Rest, AngularJS)",,,,,Киев,2018-09-05T16:07:49+0300
Android developer / android разработчик,"Java
REST
RxJava
MVVM
MVP
Clean Architecture
Android SDK
Android
Kotlin",100000.0,,RUR,Ульяновск,2018-11-16T12:57:37+0300
"Mobile QA engineer/ Инженер-тестировщик мобильных приложений (iOS, android)","Ручное функциональное тестирование
Регресcионное тестирование
сценарии тестирования
JIRA
Тестирование
QA
Мобильное тестирование
iOS
Android",70000.0,110000.0,RUR,Москва,2018-02-12T17:12:27+0300
Java developer (android),,,,,Нижний Новгород,2018-03-16T09:22:30+0300
"Mobile QA engineer/ Инженер-тестировщик мобильных приложений (iOS, android)","Ручное функциональное тестирование
Регресcионное тестирование
сценарии тестирования
JIRA
Тестирование
QA
Мобильное тестирование
iOS
Android",70000.0,110000.0,RUR,Москва,2018-04-09T12:02:16+0300
Android developer / android разработчик,"Java
REST
RxJava
MVVM
MVP
Clean Architecture
kotlin
Android SDK
Android",90000.0,,RUR,Саратов,2018-12-13T10:47:19+0300
Java-разработчик (linux/android),"Java
Qt
Git
Linux
Android SDK
Android",,,,Тверь,2018-01-21T14:43:43+0300
Программист /разработчик на android,"Android
Linux
Git",70000.0,80000.0,RUR,Иркутск,2018-11-26T18:51:38+0300
Middle android-developer,,80000.0,140000.0,RUR,Москва,2018-06-15T12:19:35+0300
Code reviewer android specialist,,,,,Саратов,2018-12-13T17:33:17+0300
"QA инженер / специалист по ручному тестированию (iOS, android app)","Функциональное тестирование
Регресcионное тестирование
Тестирование
Java
Python
iOS
Android
API",110000.0,,RUR,Москва,2018-08-06T10:59:15+0300
Junior C/C++ Engineer for android,,,,,Киев,2018-04-04T11:30:42+0300
Middle android developer,,100000.0,,RUR,Краснодар,2018-07-10T09:17:41+0300
Middle/senior android developer,,,,,Москва,2018-03-01T20:03:44+0300
Mid / senior android developer,,100000.0,200000.0,RUR,Москва,2018-04-20T13:05:44+0300
Разработчик android,,50000.0,,RUR,Тверь,2018-06-14T10:24:05+0300
"Дизайнер web, ios, android","Design
Graphic Design
UI
UX
Adobe Photoshop
Adobe Illustrator
Web-дизайн
Веб-дизайн
Дизайн интерфейсов
Графический дизайн
Дизайн",35000.0,80000.0,RUR,Омск,2018-02-15T13:16:27+0300
Senior android developer (self-driving car),,4000.0,,RUR,Москва,2018-11-16T13:56:10+0300
Junior android разработчик,,35000.0,,RUR,Новосибирск,2018-10-01T07:06:42+0300
Senior/Lead android SDK developer,"Android
CI/CD
Gradle
TDD
Cordova",150000.0,,RUR,Санкт-Петербург,2018-11-25T14:56:57+0300
Разработчик веб и андроид приложений,"Android
Linux
Android SDK
Java",50000.0,70000.0,RUR,Новосибирск,2018-09-15T13:20:50+0300
Android developer / android разработчик,"Java
REST
RxJava
MVVM
MVP
Clean Architecture
kotlin
Android SDK
Android",90000.0,,RUR,Саратов,2018-11-12T12:37:13+0300
Разработчик мобильных приложений под android,"Android
Android SDK
Java",40000.0,60000.0,RUR,Самара,2018-07-09T17:32:08+0300
Стажер (android-разработка),,,,,Москва,2018-06-18T09:46:38+0300
Junior android developer,"Java
Android
ООП",,,,Москва,2018-05-22T15:09:56+0300
"QA инженер / специалист по ручному тестированию (iOS, android app)","Функциональное тестирование
Регресcионное тестирование
Тестирование
Java
Python
iOS
Android
API",110000.0,,RUR,Москва,2018-07-06T18:46:22+0300
Java-разработчик(hardware + android),,100000.0,140000.0,RUR,Москва,2018-08-01T18:48:54+0300
Разработчик android,,50000.0,,RUR,Тверь,2018-03-12T10:21:04+0300
Разработчик android,,50000.0,,RUR,Тверь,2018-04-12T10:33:00+0300
Junior android developer,,80000.0,100000.0,RUR,Москва,2018-05-23T17:50:59+0300
Senior android developer,,,,,Киев,2018-01-18T18:32:50+0300
Senior android Developer,"Android
Java",,,,Санкт-Петербург,2018-07-27T14:13:09+0300
Разработчик мобильных приложений (android),,60000.0,,RUR,Екатеринбург,2018-06-06T16:00:39+0300
Junior android developer,,200.0,,BYR,Гомель,2018-12-05T19:01:19+0300
